               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 154,            0.016528,            0.020567,           0.0025883,             0.92839,             0.97602,             0.98138,             0.86024,           0.0058489,            0.012973,          0.00055108,           0.0024265,           0.0024265,           0.0024265
                 155,            0.015081,            0.019104,           0.0021122,              0.9271,             0.97754,             0.98208,             0.87671,           0.0059913,            0.013196,          0.00051958,            0.002377,            0.002377,            0.002377
                 156,            0.014438,            0.019765,           0.0026886,             0.97266,             0.97097,             0.98646,             0.87008,           0.0059529,            0.014429,          0.00050448,           0.0023275,           0.0023275,           0.0023275
                 157,            0.016057,            0.020102,           0.0039659,             0.95526,             0.93582,             0.97644,             0.85948,           0.0059025,            0.015002,          0.00051709,            0.002278,            0.002278,            0.002278
                 158,            0.015015,              0.0194,           0.0034458,             0.95036,             0.93485,             0.97952,             0.87774,           0.0059151,            0.014157,           0.0005203,           0.0022285,           0.0022285,           0.0022285
                 159,            0.015155,            0.019211,           0.0036597,             0.93356,             0.93435,             0.97968,              0.8791,           0.0056189,            0.013149,          0.00055118,            0.002179,            0.002179,            0.002179
                 160,            0.015554,            0.019226,           0.0019647,             0.95833,             0.90352,             0.98063,             0.87279,           0.0055081,            0.013113,          0.00056313,           0.0021295,           0.0021295,           0.0021295
                 161,            0.014462,            0.019561,           0.0028345,             0.96377,             0.89819,             0.98182,             0.86954,           0.0055442,            0.013708,           0.0005479,             0.00208,             0.00208,             0.00208
                 162,            0.014944,            0.019012,           0.0024863,             0.92429,             0.98322,             0.98597,             0.87196,           0.0055868,            0.013498,          0.00054517,           0.0020305,           0.0020305,           0.0020305
                 163,            0.014578,            0.019358,           0.0021762,             0.98434,             0.91858,             0.98325,              0.8615,           0.0059523,            0.013737,          0.00048979,            0.001981,            0.001981,            0.001981
                 164,            0.014719,            0.019337,           0.0033535,              0.9876,             0.92166,             0.98217,             0.87549,           0.0057428,            0.013632,           0.0004408,           0.0019315,           0.0019315,           0.0019315
                 165,            0.014125,            0.019001,           0.0036072,             0.98915,             0.92412,             0.98829,             0.88458,           0.0057177,            0.015187,          0.00041147,            0.001882,            0.001882,            0.001882
                 166,            0.012844,            0.019603,           0.0023485,             0.98045,             0.97396,             0.99267,             0.87801,           0.0055286,            0.013317,          0.00038865,           0.0018325,           0.0018325,           0.0018325
                 167,            0.013519,            0.018743,            0.002481,             0.98314,             0.97283,             0.99172,             0.88193,           0.0055072,            0.015325,          0.00037471,            0.001783,            0.001783,            0.001783
                 168,            0.013645,            0.019336,           0.0019094,             0.98359,             0.96995,             0.99172,             0.87957,            0.005372,            0.015537,          0.00037013,           0.0017335,           0.0017335,           0.0017335
                 169,            0.014528,            0.018965,           0.0027144,             0.98901,             0.96555,             0.99172,             0.88944,           0.0054399,            0.014553,          0.00037147,            0.001684,            0.001684,            0.001684
                 170,            0.013891,            0.018566,           0.0023102,             0.97098,             0.98886,             0.99375,             0.89642,            0.005685,             0.01462,            0.000366,           0.0016345,           0.0016345,           0.0016345
                 171,            0.013399,            0.018635,           0.0024439,             0.97878,             0.99104,             0.99375,             0.88388,           0.0054425,            0.014322,           0.0003602,            0.001585,            0.001585,            0.001585
                 172,            0.014037,            0.019041,           0.0035164,             0.97339,             0.99007,             0.99375,             0.88104,           0.0054007,             0.01458,          0.00034734,           0.0015355,           0.0015355,           0.0015355
                 173,            0.012727,            0.019207,           0.0026127,             0.96717,             0.99229,             0.99375,             0.88044,           0.0056102,             0.01335,          0.00034478,            0.001486,            0.001486,            0.001486
                 174,            0.013903,            0.019302,           0.0021273,             0.97641,             0.98498,             0.99375,             0.88362,           0.0055322,            0.012466,          0.00034631,           0.0014365,           0.0014365,           0.0014365
                 175,            0.013428,            0.018367,           0.0040642,             0.92652,             0.99672,             0.98938,             0.87258,            0.005696,            0.012386,          0.00036287,            0.001387,            0.001387,            0.001387
                 176,            0.012842,            0.018334,           0.0023273,             0.91687,             0.97142,             0.98198,             0.87164,           0.0057055,            0.013005,          0.00037803,           0.0013375,           0.0013375,           0.0013375
                 177,            0.012897,            0.018876,           0.0015518,             0.94722,             0.98624,             0.98938,             0.88028,           0.0056895,            0.013614,          0.00038884,            0.001288,            0.001288,            0.001288
                 178,            0.013226,            0.016563,           0.0014578,             0.92833,             0.96901,             0.98282,             0.87618,           0.0057361,            0.013404,          0.00039186,           0.0012385,           0.0012385,           0.0012385
                 179,            0.013466,             0.01918,           0.0018996,             0.88692,             0.99298,             0.97796,             0.87796,           0.0058789,            0.012887,          0.00039022,            0.001189,            0.001189,            0.001189
                 180,            0.013456,            0.018722,           0.0029694,             0.93607,             0.95176,             0.98454,             0.87779,           0.0056347,            0.012919,          0.00037702,           0.0011395,           0.0011395,           0.0011395
                 181,            0.013275,            0.017561,           0.0021057,             0.94466,             0.94333,             0.98454,             0.87865,           0.0056004,            0.013364,          0.00037083,             0.00109,             0.00109,             0.00109
                 182,            0.013095,            0.018147,           0.0022717,             0.89178,             0.99383,             0.97664,              0.8793,           0.0057067,            0.014379,          0.00038369,           0.0010405,           0.0010405,           0.0010405
                 183,            0.012769,            0.017247,           0.0022123,             0.89936,             0.99409,             0.98454,             0.87093,           0.0056559,            0.014095,          0.00038492,            0.000991,            0.000991,            0.000991
                 184,            0.013331,            0.018794,           0.0024709,             0.95024,             0.93884,             0.98454,             0.87557,           0.0055976,            0.013893,          0.00036547,           0.0009415,           0.0009415,           0.0009415
                 185,            0.012526,            0.017465,           0.0018518,             0.96562,             0.89824,             0.97733,             0.87224,           0.0056027,             0.01439,          0.00035278,            0.000892,            0.000892,            0.000892
                 186,             0.01332,             0.01738,           0.0029083,              0.9666,             0.90223,             0.97879,             0.87359,           0.0055155,            0.014275,          0.00034983,           0.0008425,           0.0008425,           0.0008425
                 187,            0.012427,            0.017878,           0.0018764,             0.98816,             0.92149,             0.98597,             0.87536,           0.0055146,            0.013487,          0.00035552,            0.000793,            0.000793,            0.000793
                 188,            0.013787,             0.01897,           0.0020769,             0.98768,             0.92248,             0.98597,             0.87024,           0.0055216,            0.013938,          0.00034674,           0.0007435,           0.0007435,           0.0007435
                 189,             0.01258,             0.01777,           0.0020288,             0.98737,             0.92158,             0.98597,             0.86802,           0.0055225,              0.0137,          0.00034222,            0.000694,            0.000694,            0.000694
                 190,            0.011611,            0.016814,           0.0017245,             0.94162,             0.99192,             0.98938,              0.8761,           0.0054878,            0.013545,          0.00032172,           0.0006445,           0.0006445,           0.0006445
                 191,            0.013196,            0.017042,           0.0020116,             0.94722,             0.99515,             0.98938,             0.87737,           0.0053971,            0.013717,          0.00031537,            0.000595,            0.000595,            0.000595
                 192,            0.012392,            0.017541,           0.0018545,             0.94288,             0.99206,             0.98938,             0.88549,           0.0053689,            0.014218,          0.00030788,           0.0005455,           0.0005455,           0.0005455
                 193,            0.012784,            0.018832,           0.0020184,             0.94382,             0.98315,             0.98795,              0.8794,           0.0053645,            0.014146,          0.00030501,            0.000496,            0.000496,            0.000496
                 194,            0.012173,            0.017126,           0.0018529,             0.92824,             0.99118,             0.98675,             0.88444,           0.0052996,            0.013437,          0.00029652,           0.0004465,           0.0004465,           0.0004465
                 195,            0.012226,            0.017425,           0.0018607,             0.93453,             0.98676,             0.98795,             0.88417,           0.0053625,            0.012986,          0.00028589,            0.000397,            0.000397,            0.000397
                 196,            0.012399,            0.018515,           0.0016384,             0.93013,             0.99509,             0.98675,             0.88413,           0.0054164,            0.013275,          0.00028794,           0.0003475,           0.0003475,           0.0003475
                 197,            0.012291,            0.017702,           0.0017077,             0.92962,             0.99649,             0.98675,              0.8884,           0.0053507,            0.013161,          0.00028478,            0.000298,            0.000298,            0.000298
                 198,            0.012006,            0.016795,           0.0017385,             0.92872,             0.99632,             0.98675,             0.88062,           0.0053153,            0.013033,           0.0002808,           0.0002485,           0.0002485,           0.0002485
                 199,            0.011538,             0.01686,            0.002692,             0.92934,             0.99578,             0.98675,             0.88382,           0.0053207,            0.013062,          0.00028398,            0.000199,            0.000199,            0.000199
